,title,budget,production_companies,popularity,imdb_score,names
4514,Freeheld,1879,"Double Feature Films, High Frequency Entertainment, Endgame Entertainment, Summit Entertainment",8.571,8.86,#Roxy
4515,Observe and Report,1159,"Legendary Pictures, De Line Pictures",13.861,5.08,Behind Bach - Jean Rondeau und das Cembalo
4516,The Secret of Kells,365,"Cartoon Saloon, Gébéka Films, Les Armateurs, Vivi Film, France 2 Cinéma",16.544,4.56,Raimundo Ongaro: Sindicalismo de Liberación
4517,Annette,4055,"Eurospace, Detailfilm, ARTE France Cinéma, CG Cinéma, Garidi Films, Théo Films, Tribus P Films, UGC, SCOPE Pictures, Wrong Men, Piano",10.471,8.24,ROCKDALE
4518,She's Funny That Way,7660,"Lagniappe Films, Red Granite Pictures",8.317,2.01,Watching My Mommy Go Black 15
4519,Walk Hard: The Dewey Cox Story,4975,"Apatow Productions, Columbia Pictures",14.81,9.72,Hillsong United - With Hearts As One
4520,Breaking In,7237,"Will Packer Productions, Breaking In Pictures",13.163,9.6,On the Road to Katanga
4521,"Don't Worry, He Won't Get Far on Foot",2194,"Anonymous Content, Big Indie Pictures, Iconoclast, Lionsgate, Amazon Studios",9.188,1.06,Das Celler Loch
4522,Above the Law,4117,Warner Bros. Pictures,19.184,3.36,Buddy & Grace
4523,Stuck on You,5223,"Conundrum Entertainment, 20th Century Fox",10.195,6.94,Ghost
4524,Bad Samaritan,1245,"Electric Entertainment, Global Pictures Media",19.584,5.45,I Cover Chinatown
4525,Damien: Omen II,1975,"Mace Neufeld Productions, 20th Century Fox, Harvey Bernhard Productions",18.538,6.51,女優iの憂鬱/ COMPLY+-ANCE
4526,Game of Death,3258,"Orange Sky Golden Harvest, Concord Productions, Columbia Pictures",17.712,4.09,Sitting Feeding Sleeping
4527,Saint Maud,4725,"Film4 Productions, BFI, Escape Plan Productions",14.67,2.2,Bareback Journey to Amsterdam
4528,Little Monsters,1200,"Screen Australia, Create NSW, Protagonist Pictures, Made Up Stories, Snoot Entertainment",9.427,9.29,Mónica Naranjo: Stage
4529,The Clovehitch Killer,6534,End Cue,10.933,7.98,Gimme That Big Cock!
4530,An American Crime,354,"First Look International, Killer Films, Showtime Networks",13.495,3.73,The Woman's Film
4531,Under the Shadow,114,"Wigwam Films, Creativity Capital, MENA Film",10.949,1.21,Voices
4532,Chalet Girl,9872,"Kaleidoscope Films, UK Film Council, Aegis Film Fund, Prescience, Hindsight Media, OFI, Cine Tirol, Metropolis International Sales, FilmFernsehFonds Bayern, Deutscher Filmförderfonds, BKM, kulturelle Filmförderung des Bundes, CrossDay Productions Ltd., Neue Bioskop Film, Novotny & Novotny Filmproduktion",12.313,9.42,"It Ain’t Half Racist, Mum"
4533,Archive,2108,"Independent, Hero Squared, Head Gear Films, Metrol Technology, Untapped, Quickfire Films, Lipsync Productions, XYZ Films",14.567,9.59,The Same Storm
4534,Honey Boy,379,"Amazon Studios, Stay Gold Features, Delirio Films, Automatik Entertainment, Kindred Spirit, Red Crown Productions",11.294,8.89,Three Skeleton Key
4535,Can't Buy Me Love,2438,"Silver Screen Partners II, Apollo Pictures, Touchstone Pictures, The Mount Company",14.658,6.16,The Stepmother
4536,Phantasm,2202,"AVCO Embassy Pictures, New Breed Productions",15.645,5.22,Pocket Dial Murder
4537,Small Time Crooks,1401,DreamWorks Pictures,13.304,4.75,JUL-247 <
4538,Sliver,5943,"Robert Evans Company, Paramount",24.606,7.1,Windham Hill: China
4539,Hypnotic,6375,"Studio 8, Solstice Productions, Ingenious Media, Double R Productions",149.609,9.33,Deep Québec
4540,"Like Father, Like Son",7680,"Fuji Television Network, BUN-BUKU, AMUSE, GAGA Corporation",19.39,1.21,Seikan Chiryô: Hakui no Wananaki
4541,The Weekend Away,9597,42,14.802,8.62,Moonrise in the Salt Kingdom
4542,Romeo and Juliet,8746,"Paramount, Dino de Laurentiis Cinematografica, BHE Films, Verona Produzione",16.115,5.23,Inside Fear
4543,Emily the Criminal,5453,"Low Spark Films, Evil Hag Productions",30.735,2.61,Materiales originales de “Amalgama”
4544,Alone,2495,"Mill House Motion Pictures, Paperclip, With XYZfilms",27.329,4.52,Rainer Variations
4545,Compliance,4557,"Bad Cop / Bad Cop, Dogfish Pictures, Muskat Filmed Properties, Low Spark Films",16.696,7.38,Gangbang Creampie: Midwest MILFs
4546,Time Is Up,2013,"Lotus Production, RAI",13.755,9.57,Céleste
4547,The Devil's Candy,7729,"Snoot Entertainment, HanWay Films",8.6,9.06,The Duke Steps Out
4548,The Oxford Murders,7005,"Telecinco Cinema, Eurimages, La Fabrique 2, Tornasol Films, Canal+ España, thinkfilm, Warner Bros. Pictures, Warner Bros. Entertainment España, Oxford Crimes, Canal+",12.353,6.8,4 Brothers
4549,Stormbreaker,7382,"Isle of Man Film, Samuelson Productions, The Weinstein Company",15.827,2.97,Zoku tameiki
4550,The Aftermath,2758,"Scott Free Productions, Amusement Park Films, Fox Searchlight Pictures",18.239,1.06,Tea Time
4551,Rumble Fish,2445,"Universal Pictures, American Zoetrope",15.191,1.96,Canned Meat - The Whole Damn Can
4552,Dolphin Tale,5154,"Arc Productions, Alcon Entertainment",15.889,8.27,Sinful Obsession
4553,The Return,8498,"Rogue Pictures, Intrepid Pictures, Raygun Productions, Biscayne Pictures, Rosey Film Productions",11.748,4.64,Charmed & Dangerous
4554,Stretch,4742,"IM Global, Universal Pictures, Blumhouse Productions, Chambara Pictures",10.684,5.96,Voices of Bakur
4555,All the Boys Love Mandy Lane,1851,Occupant Films,10.163,5.66,AJ Slays
4556,Obsessed,3883,"Screen Gems, Sony Pictures",17.768,4.42,Tagebuch für einen Mörder
4557,A Hard Day's Night,7736,"Proscenium Films, Walter Shenson Films, Maljack Productions, United Artists",15.222,9.51,Naked
4558,Beckett,2004,"Frenesy Film, MeMo Films, RT Features, RAI, Wise Pictures",14.77,2.21,Belle and Sebastian: The Adventure Continues
4559,Serial Mom,4597,"Polar Entertainment, Savoy Pictures",20.89,4.61,Class Struggle
4560,Dracula 2000,3897,"Wes Craven Films, Dimension Films, Neo Art & Logic",19.528,9.02,Law of the Plains
4561,Like a Boss,5832,"Artists First, Paramount",10.745,7.0,V páse zlomená
4562,Tangerine,2619,"Through Films, Duplass Brothers Productions",8.847,1.89,Selling Body Part II
4563,Welcome to the Punch,700,"Worldview Entertainment, Between The Eyes, Automatik Entertainment, IM Global, Scott Free Productions",13.966,2.29,The Red Peppers
4564,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2297,"The Weinstein Company, Yucaipa Films, Pegasus Taihe Entertainment",18.291,1.59,La torta caliente
4565,Nine Months,3600,"1492 Pictures, 20th Century Fox",12.996,3.34,Aya Minnow
4566,Steel Magnolias,2457,"Rastar Productions, TriStar Pictures",17.518,4.15,Baap
4567,Intrusion,5946,"Creator Media Entertainment, Sea Smoke Entertainment, EMJAG Productions",12.259,4.94,Anal-Qual 15
4568,Your Place or Mine,5524,"Hello Sunshine, Aggregate Films, Lean Machine",22.484,7.19,Strike
4569,The Last Picture Show,6598,"BBS Productions, Columbia Pictures, Last Picture Show Productions",15.747,9.53,Pulcra
4570,The Class,3896,"Haut et Court, France 2 Cinéma, Canal+, CinéCinéma, France 2, Cofinova 4, Soficinéma 3, La Région Île-de-France",9.82,5.99,The Silence of Green
4571,Fletch,5836,Universal Pictures,16.16,1.3,Loraldia - El tiempo de las flores
4572,24 Hours to Live,79,"Thunder Road, Fundamental Films, Film Afrika",13.933,1.91,Rabbit Hole
4573,No Way Out,9793,Orion Pictures,13.326,1.86,Trust and Brotherhood
4574,One Night in Miami...,8296,"Snoot Entertainment, ABKCO Films, Amazon Studios",9.713,8.14,Cualquier cosa
4575,John Dies at the End,8235,"M3 Alliance, M3 Creative, Midnight Alliance, Silver Sphere Corporation, Syndrome Studio, Touchy Feely Films",16.37,8.42,Cemetery of Splendor
4576,Boat Trip,4797,"Artisan Entertainment, Motion Picture Corporation of America",13.127,4.25,The Motorbike
4577,Blindspotting,899,"Summit Entertainment, Snoot Entertainment, Codeblack Films",9.679,1.02,Kate Garraway: Caring for Derek
4578,Unforgettable,5170,Di Novi Pictures,13.786,7.4,Your Sister Sucks
4579,Denial,9044,"BBC Film, Participant, Krasnoff / Foster Entertainment, Shoebox Films",11.752,3.58,The Ghost of Flight 401
4580,Sleepaway Camp,7382,"American Eagle, U.S. Films",24.184,7.06,Wim Helsen: Heden Soup!
4581,Adventures in Babysitting,3910,"Silver Screen Partners III, Touchstone Pictures",35.85,4.37,The Next Skin
4582,The Hunter,7719,"Porchlight Films, Screen Australia, Screen NSW, Screen Tasmania, Fulcrum Media Finance, Madman Entertainment, Entertainment One",11.98,9.94,Mr. Noisy
4583,Presumed Innocent,4359,"Mirage Enterprises, Warner Bros. Pictures",22.689,1.2,Lesbian Anal Gape 3
4584,In the Loop,8837,"Aramid Entertainment Fund, BBC Film",9.827,9.87,The True History Of Strap Attack 2
4585,Deception,462,"Dune Entertainment III, Kanzaman Productions, MRC, Rifkin-Eberts, Seed Productions, 20th Century Fox, Summit Entertainment",15.569,9.7,Camisa de Vênus - Dançando em Porto Alegre - Ao Vivo
4586,Without a Paddle,8559,"De Line Pictures, Paramount",16.045,3.62,"Aqui Favela, o Rap Representa"
4587,Hair,4737,"CIP Filmproduktion GmbH, United Artists",12.018,2.43,Camp Rock
4588,Grumpy Old Men,3837,"John Davis, Lancaster Gate, Warner Bros. Pictures",14.379,9.72,Scrap
4589,Mighty Aphrodite,7155,"Magnolia Pictures, Miramax",14.266,6.98,I Like Black Boys 5
4590,The Innkeepers,7424,"Dark Sky Films, Glass Eye Pix",11.35,3.38,New York: Broadway at Union Square
4591,Bachelor Party,36,"Twin Continental, Bachelor Party Productions, Aspect Ratio Film, 20th Century Fox",21.011,6.71,Spirit from the Meadow
4592,Berlin Syndrome,4154,"Photoplay Films, Screen Australia, Memento Films International, Film Victoria, Aquarius Films, Fulcrum Media Finance, DDP Studios",22.06,3.55,Aadim Vichar
4593,Ace in the Hole,6183,Paramount,15.312,4.78,딸의 친구 2
4594,Mayhem,1826,"Circle of Confusion, Royal Viking Entertainment",9.991,4.24,Taboo
4595,Breach,6298,"308 Enterprises, Almost Never Films, Aloe Entertainment, Screen Media Films, Saban Films",19.169,3.18,Kawarasaki Family
4596,Knight of Cups,533,"Waypoint Entertainment, Dogwood Films",16.957,3.27,東京ガガガ
4597,The Hallow,9342,"Fantastic Films, Hallow Films, Occupant Entertainment, Hyperion Media Group, Prescience, Altus Media (Five), The Electric Shadow Company",28.757,3.51,Ζητείται δράκος
4598,Encino Man,1170,"Hollywood Pictures, Touchwood Pacific Partners 1",17.253,9.32,Das Weltnaturerbe - Schätze unserer Erde
4599,The Station Agent,9081,"Next Wednesday Productions, SenArt Films",10.466,7.37,Abduction Production
4600,The Limehouse Golem,8571,"Number 9 Films, New Sparta Films, HanWay Films",13.518,9.49,The Lady in Black
4601,No Sudden Move,5138,"Warner Bros. Pictures, HBO Max",18.275,3.98,Kill Me Again
4602,Armored,356,"Screen Gems, Stars Road Entertainment, Farah Films & Management, Buckaroo Entertainment",12.207,1.46,Yellow Face
4603,No Good Deed,7898,Will Packer Productions,26.473,6.41,Véspera
4604,"Where'd You Go, Bernadette",4218,"Annapurna Pictures, Color Force",11.006,4.7,The Streets Run Red
4605,Kidnapping Mr. Heineken,5042,"uMedia, Splendid Film, Informant Europe SPRL, European Film Company, Informant Media",12.256,3.72,Stekenjokk and the Guardians of the Eggs
4606,Fortress,7327,"Village Roadshow Pictures, Davis Entertainment, Fortress Films",12.996,1.26,Briser le silence des amphis
4607,Calibre,7073,"Creative England, Wellington Films, Creative Scotland",11.669,2.29,Shades Of Despair
4608,One Fine Day,7345,"Fox 2000 Pictures, Via Rosa Productions, 20th Century Fox",13.433,7.3,Klub osamělých srdcí
4609,The Skeleton Twins,8694,"Venture Forth, Duplass Brothers Productions",10.167,5.52,"Ich glaub, ich mach nicht mal Filme, ich glaub, ich filme nur irgendwas, um irgendwem zu beweisen, dass ich eine Person bin"
4610,I Am Wrath,7622,"Hannibal Classics, Patriot Pictures, Vallelonga Productions, Vengeance is Mine Productions",14.455,3.9,Cărturan
4611,The Divide,8631,"Instinctive Film, Preferred Content, Julijette, The Ink Connection, BR Group, MFM",16.978,6.67,Rebel
4612,Idle Hands,5228,"Licht/Mueller Film Corporation, Team Todd, Columbia Pictures, TriStar Pictures",15.917,2.12,The Inspectors 2: A Shred of Evidence
4613,Hatchet,9643,ArieScope Pictures,13.827,7.75,Zeppelin - Das fliegende Schiff
4614,Level 16,5049,Markham Street Films,17.575,5.75,Malanka
4615,Poltergeist II: The Other Side,6233,Metro-Goldwyn-Mayer,14.493,2.27,La excusa del sueño americano
4616,Underground,2180,"Komuna, Barrandov Studio",16.101,6.91,Agenda 2: Masters of Deceit
4617,Shine,3573,"Fine Line Features, Film Victoria, South Australian Feature Film Company, Australian Film Finance Corporation",8.917,9.88,"Dialing Up ""Cellular"""
4618,Grandma's Boy,309,"20th Century Fox, Happy Madison Productions, Level 1 Entertainment, Summit Entertainment",20.665,5.26,Meu Cunhado me Comeu
4619,Rudy,2609,TriStar Pictures,17.902,2.57,The Golden Tooth Boy
4620,Boiler Room,8854,New Line Cinema,17.614,3.02,Brothers
4621,Apt Pupil,9565,"Bad Hat Harry Productions, Canal+ Droits Audiovisuels, Phoenix Pictures",11.712,3.16,O zlém havranovi
4622,The People Under the Stairs,5401,"Universal Pictures, Alive Films",17.585,8.42,Thunderdome '96 - Dance or Die
4623,The Ice Storm,2611,"Canal+ Droits Audiovisuels, Fox Searchlight Pictures, Good Machine",16.734,7.99,Friendly Fucks 2
4624,Chitty Chitty Bang Bang,2687,"United Artists, Dramatic Features, Warfield",17.482,3.15,Tracy Morgan: Black & Blue
4625,Ong Bak 2,8957,"Iyara Films, Sahamongkolfilm",25.641,6.58,Lo que le pasó a Sansón
4626,There's Someone Inside Your House,8224,"21 Laps Entertainment, Atomic Monster",13.776,7.08,The Children in the House
4627,Cats & Dogs: The Revenge of Kitty Galore,3940,"Village Roadshow Pictures, Polymorphic Pictures, Mad Chance, CD2 Films, Warner Bros. Pictures, Warner Bros. Entertainment",19.852,4.75,The Cost of Cobalt
4628,Traitor,5134,"Mandeville Films, Hyde Park Films, Crescendo Productions, Overture Films, Paramount Vantage",14.286,7.63,Konishi Junsa
4629,Reindeer Games,9499,"Dimension Films, Marty Katz Productions",15.843,4.49,Viola Noblesse 4: Das Busen Wunder
4630,I.T.,923,"Fastnet Films, Irish Dreamtime, Ciné+, 22h22, Mutressa Movies, Friendly Films, Canal+, Voltage Pictures",14.917,6.39,Dwile Flonking from Harleston
4631,My Policeman,552,"Amazon Studios, Berlanti Productions, Independent",12.517,9.83,Psychosia
4632,Admission,5189,"Focus Features, Depth of Field",12.659,5.26,There's a Pervert in Our Pool!
4633,See No Evil,7055,"Lions Gate Films, WWE Studios",13.705,3.75,Two Nights of Maria
4634,A Perfect Day,2697,"Mediapro, Reposado Producciones, TV3, Canal+ España, TVE",7.679,5.63,Seed
4635,Getaway,3827,"Saints LA, Dark Castle Entertainment, After Dark Films, Signature Pictures, Silver Reel, Dunulf Productions, Emmitt Productions Limited, The Fyzz, ADF Acquisitions, Bomar OOD",11.451,1.2,Teens Love It Outside
4636,I Came By,6838,"Two and Two Pictures, XYZ Films, Two & Two Pictures, Film4 Productions, New Regency Pictures",17.952,8.29,Black Lesbian Seductions
4637,Cronos,3282,CNCAIMC,9.114,1.77,Semestr něžnosti
4638,Edtv,3444,"Imagine Entertainment, Universal Pictures",16.658,7.23,Maadathy
4639,Wheelman,448,"The Solution, WarParty Films",9.086,7.64,Young Swingers
4640,Spy Hard,7097,Hollywood Pictures,20.056,3.52,Sulle orme di Giacomo Leopardi
4641,Little Italy,8782,"Téléfilm Canada, First Take Entertainment",16.217,4.15,UFC 168: Weidman vs. Silva 2
4642,A Hidden Life,8015,"Studio Babelsberg, Iris Productions, Fox Searchlight Pictures, Medienboard Berlin-Brandenburg, TSG Entertainment",12.659,8.59,Le Grand Concert Unis pour le Liban
4643,Reign of the Supermen,8249,"DC Entertainment, Warner Bros. Animation",13.953,4.45,No Além da Linha do Trem
4644,The Lookout,6511,"Spyglass Entertainment, Miramax",11.551,2.3,Bienvenido a casa
4645,The Outsider,6758,"Waypoint Entertainment, The Linson Company",16.103,4.06,Frame Switch
4646,Father Figures,9963,"Alcon Entertainment, The Montecito Picture Company, DMG Entertainment",11.101,8.93,На пути в Берлин
4647,Because I Said So,2540,"Gold Circle Films, Universal Pictures, Mandate International",15.64,2.72,Shin Gakkou no Yuurei
4648,People Like Us,1954,"Touchstone Pictures, DreamWorks Pictures",13.692,7.66,"Ay, Işığında Saklıdır"
4649,Deck the Halls,1718,"New Regency Pictures, Corduroy Films",17.056,1.99,Demons-R-Us
4650,Agent Cody Banks 2: Destination London,9515,"Maverick Films, Dylan Sellers Productions, Splendid Pictures, Madacy Entertainment, Metro-Goldwyn-Mayer",16.064,9.77,Die Welt auf Schwäbisch Live
4651,Kicking & Screaming,1859,Mosaic Media Group,11.001,2.57,The Horrors of AutoCorrect
4652,A Perfect Plan,4510,"Quad Productions, TF1 Films Production",12.355,6.77,F1 Review 1980
4653,XOXO,8097,Prettybird,16.081,8.3,札束と温泉
4654,Piranha,113,"New World Pictures, Chako Film Company",18.483,4.4,Ultimate Cruise Ship
4655,Come Play,1026,"Focus Features, Amblin Partners, Reliance Entertainment, The Picture Company, DreamWorks Pictures",19.343,9.29,赵雷 我们的时光 2015北京演唱会
4656,The Good Girl,5071,"Hungry Eye Lowland Pictures B.V., Fox Searchlight Pictures, Flan de Coco Films",10.799,8.59,Inde
4657,The Children Act,4024,"FilmNation Entertainment, BBC Film, Toledo Productions",10.502,2.32,I Like Fat Girls 4
4658,Phantom of the Paradise,962,"Harbor Productions, 20th Century Fox",14.05,7.44,Subject 3
4659,Quills,8996,"Charenton Productions, Fox Searchlight Pictures, Industry Entertainment, Walrus & Associates, Hollywood Partners",16.043,4.17,Field Freak
4660,Fired Up!,2572,"Weinstock Productions, Screen Gems, Moving Pictures, DPI, Gross Entertainment",13.441,9.03,Похищение чародея
4661,3000 Miles to Graceland,6913,"Morgan Creek, Franchise Pictures, Warner Bros. Pictures",13.412,6.31,Wet Young Bitches
4662,Kandahar,4085,"Thunder Road, G-BASE, MBC Studios, Capstone Pictures",708.536,4.23,Till Death Do Us Laugh
4663,Once Upon a Time in Venice,9447,Voltage Pictures,15.298,7.44,Blister
4664,Ratchet & Clank,9211,"Blockade Entertainment, CNHK Media China, Rainmaker Entertainment",14.147,4.75,No Strings Attached 2
4665,The Damned United,7703,"BBC Film, Screen Yorkshire, Left Bank Pictures, Columbia Pictures, Sony Pictures Classics",12.693,6.73,Aprenda Trombone Gospel Básico
4666,How to Be a Latin Lover,7256,Pantelion Films,28.567,3.77,"Death by Paper Cuts - Poets, Prophets & Preachers"
4667,Kagemusha,2101,"TOHO, Kurosawa Production, 20th Century Fox, American Zoetrope",16.807,6.14,Li Ké Terra
4668,North Country,3364,"Participant, Nick Wechsler Productions, Industry Entertainment",17.023,2.89,Self Portrait Post Mortem
4669,November Criminals,4232,"Black Bicycle Entertainment, Lotus Entertainment",9.152,6.76,モンブラントラベラー
4670,Marauders,1369,"Grindstone Entertainment Group, EFO Films, 4th Wall Entertainment, Highland Film Group, Lionsgate Home Entertainment",24.124,6.63,Collar Bomb
4671,Newness,2709,"Lost City, Scott Free Productions",22.62,3.37,It Was All a Dream
4672,Altered States,5502,Warner Bros. Pictures,13.71,6.77,Elephant Went to Study
4673,Megan Is Missing,2468,Trio Pictures,22.731,8.0,Crossing
4674,Day of the Dead: Bloodline,2376,Nu Boyana Film Studios,14.998,8.66,Gordon
4675,Paranormal Activity: Next of Kin,4639,"Room 101, Blumhouse Productions, Paramount Players, ARRI Media, Solana Films",28.817,7.66,Papa
4676,Everyone Says I Love You,9120,Miramax,11.652,6.57,Zonjusha
4677,The Monster,9707,IRIS Films,19.401,2.51,In Memory
4678,The Lady from Shanghai,9145,"Mercury Productions, Columbia Pictures",10.06,4.82,The Heart Surgeon
4679,Shivers,1801,"DAL Productions, Canadian Film Development Corporation (CFDC), Cinépix Film Properties (CFP)",18.906,7.08,Hot Cherry Pies 13
4680,The Best Years of Our Lives,2895,"Samuel Goldwyn Productions, RKO Radio Pictures",15.903,1.04,Satan's Psycho-Ghoul
4681,November,7253,"Chi-Fou-Mi Productions, Récifilms, uMedia, France 2 Cinéma, uFund, Canal+, La Banque Postale Image",12.316,3.47,"Max, Sally and the Magic Phone"
4682,Kung Pow: Enter the Fist,2610,"O Entertainment, 20th Century Fox",18.107,6.41,"One Day I Went To A Drinking Party Dressed As A Girl And Got Gang Raped, Creampied And Impregnated. Rui Nanase"
4683,The Resident,692,"Hammer Film Productions, Exclusive Media",14.596,1.9,Woolloomooloo
4684,Chasing Liberty,1487,"Micro Fusion 2003-2, Alcon Entertainment, Trademark Films, C.R.G. International, ETIC Films",16.105,1.89,"King Diamond: [1987] San Francisco, CA"
4685,The Starving Games,8361,The Safran Company,0.719,1.79,México 71
4686,Charlie Bartlett,4862,"Metro-Goldwyn-Mayer, Sidney Kimmel Entertainment, Everyman Pictures, Permut Presentations, Mandate International",10.986,5.16,A Bandit
4687,"Jeff, Who Lives at Home",7258,"Right of Way Films, Indian Paintbrush, Jeff Brothers Productions, Mr. Mudd Production",14.634,7.77,El contrabajo
4688,Powder,9941,"Hollywood Pictures, Caravan Pictures",32.759,4.63,Miyamoto Musashi: Birth of Two Sword Style
4689,Che: Part Two,7509,"Wild Bunch, Telecinco Cinema, Laura Bickford Productions, Morena Films, Ministerio de Cultura, Guerrilla Films, Londra Films P&D, Section Eight",11.868,2.63,Dissonant
4690,The Tournament,54,"Sherwood Schwartz Productions, Storitel, Mann Made Films",17.456,8.91,Borrowing Trouble
4691,Eiffel,9658,"Pathé, VVZ Production, Constantin Film, SCOPE Pictures",12.54,4.68,Naa Ishtam
4692,Of Mice and Men,8434,Metro-Goldwyn-Mayer,18.037,4.09,The West Point Story
4693,Cat's Eye,5742,"International Film Corporation, Dino De Laurentiis Company, Famous Films",16.87,1.33,새 엄마의 선물 떡
4694,Parenthood,7964,"Universal Pictures, Imagine Entertainment",13.34,4.37,Entre Elle & Lui - 10 Tout commence maintenant
4695,Employee of the Month,1562,"Lionsgate, Tapestry Films",11.818,9.75,Twink Swap Party 2
4696,The Darkness,6178,"Chapter One Films, Universal Pictures, Blumhouse Productions, BH Tilt",9.408,7.24,Fuck Me in the Bathroom 3
4697,Are We Done Yet?,4507,"Revolution Dream Productions, Revolution Studios, Cube Vision, RKO Pictures LLC",16.768,6.96,Aquitted
4698,Barefoot,6477,WhiteFlame Productions,8.48,8.83,Orphan
4699,An Unfinished Life,9505,"Miramax, Revolution Studios, Initial Entertainment Group, The Ladd Company, Kalis Productions GmbH & Co. Zweite KG, Persistent Entertainment, Unfinished Films",14.268,5.43,Le Conte des sables d'or
4700,Southbound,5620,Willowbrook Regent Films,8.955,2.93,Bionico's Bachata
4701,The Red Shoes,7333,"Independent Producers, The Archers, J. Arthur Rank Organisation",14.24,2.97,The Tattooed Widow
4702,Waves,2111,"Bron Studios, JW Films",13.519,7.41,"October 17, 2023"
4703,C'mon C'mon,7826,"A24, Be Funny When You Can",15.474,8.52,Yua Mikami's S1 Debut
4704,Trash,6048,"O2 Filmes, Working Title Films, PeaPie Films, Universal Pictures",13.584,6.86,Baby Proof
4705,No One Gets Out Alive,2699,The Imaginarium,18.836,2.0,Peso Pluma: Amazon Music Live 2023
4706,Radius,7553,"Title Media, EMAfilms, Peripatetic Pictures",16.044,2.05,AJAYU
4707,Racing Stripes,5630,"Alcon Entertainment, Summit Entertainment, Warner Bros. Pictures",17.174,2.42,The Danger Element
4708,In Good Company,9426,Depth of Field,17.248,1.39,Never Ending Blue
4709,The Proposition,5064,"UK Film Council, Surefire Film Productions, Autonomous, Pictures in Paradise, Jackie O Productions, Pacific Film and Television Commission, Film Consortium, National Lottery",14.496,2.02,The Coffin Painter
4710,Birth,7891,"Academy Films, Fine Line Features, New Line Cinema, Lou Yi",21.75,4.36,Jawan
4711,Million Dollar Arm,681,"Walt Disney Pictures, Roth Films, Mayhem Pictures",9.006,5.21,Last Words: My Sister Yoka
4712,Rob Roy,5577,"Talisman Productions, United Artists",12.865,3.79,Lifelong
4713,Devotion,8145,"Black Label Media, STX Films",34.79,5.42,Ghost in the Machine
4714,Wolf Creek 2,9794,"True Crime Australia, Emu Creek Pictures, Duo Art Productions, Screen Australia, South Australian Film Corporation",17.904,6.64,City at Heart
4715,The Brothers Bloom,888,"Summit Entertainment, Endgame Entertainment, Ram Bergman Productions",12.788,2.84,Jean Lapierre : homme de coeur et de paroles
4716,On the Rocks,4347,American Zoetrope,8.917,4.61,Stalin's Couch
4717,The Indian in the Cupboard,2919,"Paramount, The Kennedy/Marshall Company, Columbia Pictures",15.524,8.47,Where's the Party Yaar?
4718,Lou,250,Bad Robot,25.068,6.96,Dance of the Samodivi
4719,Roxanne,5944,"L.A. Films, Columbia Pictures, IndieProd Company Productions",16.846,6.65,Cavanaugh of the Forest Rangers
4720,Michael,2835,"Alphaville Films, Turner Pictures, Warner Bros. Pictures",12.525,2.04,Inside the Mind of a Killer: The Brian Glaze Gibbs Story
4721,The Warrior's Way,486,"SCS Entertainment, Sidus, Relativity Media, Rogue Pictures, Sad Flutes, Fuse Media, Wellmade Entertainment, Kathy Morgan International",18.762,4.74,Dining Room Safety
4722,From Here to Eternity,1483,Columbia Pictures,19.5,1.98,Max Q: Emergency Landing
4723,Two for the Money,321,"Morgan Creek, Universal Pictures",11.223,1.0,Mashima Miyabi
4724,King of New York,1893,"Reteitalia, Scena International",16.852,4.14,Megatón ye-ye
4725,Dungeons & Dragons,2595,"New Line Cinema, Silver Pictures, Sweetpea Entertainment, Behaviour Worldwide, MDP Worldwide, Stillking Films",29.35,9.77,Panikeum sur l'an 2000
4726,Thief,9247,"Mann/Caan Productions, United Artists",15.586,2.7,Sitio
4727,Hollywood Homicide,8252,"Revolution Studios, Columbia Pictures",10.843,3.52,Ready to Serve
4728,Keeping the Faith,9342,"Spyglass Entertainment, Touchstone Pictures, Triple Threat Talent",11.87,1.54,Night of Resurrections
4729,Super Dark Times,139,"Lila 9th Productions, Neighborhood Watch, Higher Content, Ways & Means, Om Films",8.948,8.62,Por Amor à arte
4730,Zoom,9304,"Revolution Studios, Team Todd, Boxing Cat Films, Columbia Pictures, Sony Pictures",14.497,6.75,Dienstag (once upon a Tuesday)
4731,Psycho II,62,"Universal Pictures, Oak",12.044,5.85,The Life Of Gorislav Chuzhdozemniy
4732,Gotti,1686,"Highland Film Group, Michael Fiore Films, EFO Films, JTP Films",11.523,3.36,Queen of Aces
4733,Gummo,3108,"Independent Pictures (II), Fine Line Features",10.828,6.09,Bracha
4734,The Secret of My Success,6866,"Universal Pictures, Rastar Productions",17.486,9.98,The Golfers
4735,You People,1323,"Khalabo Ink Society, Misher Films, Strong Baby Productions",17.426,5.02,Retratos de Eugenia
4736,The Many Saints of Newark,5014,"Warner Bros. Pictures, HBO Films, New Line Cinema, Chase Films",19.667,1.86,I Want to Look Like That Guy
4737,Red Tails,3453,"Lucasfilm Ltd., 20th Century Fox, Anthony Hemingway Productions",24.717,8.79,Lust Unleashed 22
4738,Vegas Vacation,4645,"Jerry Weintraub Productions, Warner Bros. Pictures",18.061,7.37,Love Makes Me Wet
4739,Girl in the Basement,2784,"Big Dreams Entertainment, Swirl Films, Lifetime",39.477,8.06,网事套路深
4740,Jiu Jitsu,7963,"Acme Rocket Fuel, Green Olive Films, Double Tree Entertainment",15.758,5.58,Kabul Sea
